, You
redundancy, so
reentry, conditions
refill, the
refilling, trips
refills, you
refined, form
refining, the
reflect, the
reflight, And
refly, one
refurbished, ICBMbecause
refurbishment, required
region, starting
reinventing, a
relative, ease
relatively, recent
relevant, and
reliefI, still
relies, on
remarkably, close
rendezvous, we
replenished, and
represent, a
represents, is
require, maybe
required, for
researchers, dont
resistance, less
resourcerich, as
resources, that
respond, to
responded, to
response, It
restaurant, u
result, in
results, of
resupplying, cargo
retired, but
returned, cargo
returns, to
reusability, of
reusable, rocket
reuse, the
rid, of
ridiculous, If
right, then
risk, its
road, network
robot, cannot
robots, are
robust, with
rock, on
rocket, Fortunately
rocketpropellant, grade
rockets, Our
room, for
rooster, right
roughly, So
round, trip
routinely, take
row, because
rules, for
run, with
runway, And
rush, You
safe, then
safely, and
safer, than
safety, that
said, its
sailing, voyages
same, What
satellites, and
save, enough
saved, up
saw, so
say, I
saying, this
scale, of
scaledup, version
scalingup, of
scheme, of
school, of
science, stuff
scientists, can
scope, and
scrape, together
scraped, is
sea, They
sealevel, versions
seamlessly, integrated
second, or
secondly, I
seconds, u
secret, I
section, and
sector, side
sedanBecause, we
see, a
seeds, in
seem, quite
seems, theyll
seen, within
self, as
selfdriving, vehicles
selfsustaining, civilization
send, to
sending, a
sense, because
sensitivity, of
sensor, system
sent, 
seriously, But
serve, as
service, infrastructure
services, will
servicing, the
set, up
sets, of
seven, days
several, trips
severe, traffic
shape, So
share, his
sheer, scale
shield, technology
shields, basically
ship, thats
ships, And
short, period
shortage, for
shortfall, And
should, characterize
shouldnt, want
show, that
showed, we
showing, a
shuttle, got
side, of
significant, debut
silly, but
similar, to
similarities, such
similarly, sized
simpler, system
simply, things
simulation, was
simultaneously, So
since, October
single, use
singleuse, youd
sink, in
site, So
siteAnd, we
situ, propellant
situation, in
situations, in
six, kilometers
size, for
sized, engine
slides, I
slightly, The
slow, A
slower, than
small, Raptor
smaller, vehicle
smallest, useful
smart, enough
smarter, than
smartest, human
smooth, on
smoothly, And
snowball, over
so, you
social, media
societal, upheaval
soft, then
software, And
soil, and
solar, system
solicit, critical
solid, or
solution, is
solve, the
solved, it
solves, the
solving, problems
some, degree
somebody, loves
someday, and
someone, wed
something, to
somethingBecause, its
sometimes, what
somewhat, oversized
somewhere, else
soon, And
sort, which
sorts, and
sound, a
sounds, better
source, which
sources, And
south, coast
space, flight
spacecraft, Then
spacefaring, civilization
spaceship, the
spaceships, into
sparkignition, So
speaking, Is
specialized, form
species, and
speciesAnd, thats
specific, impulse
speed, of
spend, time
spending, a
spirit, of
sponsorship, and
stage, u
stagecombustion, engine
stake, forBeing
stand, And
standpoint, is
star, systems
stars, is
start, doing
started, doing
startedBecause, initially
starting, in
station, With
stations, along
stay, on
staying, on
steady, cadence
steal, underpants
steep, price
steer, the
steering, if
steps, We
still, lives
stoppers, there
storing, hydrogen
story, of
straightforward, because
strengthtoweight, when
strip, it
strong, engineering
stronger, I
structure, so
structures, that
stuck, So
studied, physics
studio, Mars
studying, the
stuff, But
subcool, the
subject, to
suborbital, flights
substantially, greater
succeed, but
succeeded, in
success, may
successfulSo, its
successive, flightAnd
such, as
suffer, from
sufficiently, advanced
suited, to
summit, we
sun, as
sunlight, Its
super, intelligent
superbig, deal
supercold, liquid
superhard, one
superhighpressure, hot
superlativesAnd, this
superwell, it
supply, So
support, will
supporting, SpaceX
suppose, honestly
sure, I
surface, in
survival, of
susceptibility, of
suspect, that
sustainable, transport
symbiosis, between
system, kind
systems, I
tackle, it
take, that
taken, for
takeoff, and
takes, you
taking, over
talent, is
talk, to
talked, to
talking, about
tall, buildings
tallest, buildings
tank, is
tanker, and
tanks, themselves
taxes, So
team, Based
technical, challenge
technically, a
techniques, and
technological, standpoint
technology, solution
tectonic, when
tell, you
temperature, and
tend, to
tends, to
tens, of
tenuous, existence
term, My
terms, of
terrestrial, problem
terrible, happens
test, the
tests, with
th, of
than, it
thank, you
thanks, to
that, youre
thatSo, I
thats, necessary
the, future
their, social
them, and
themselves, actually
then, they
theoretical, momentum
there, will
thereI, often
thereOne, of
therell, be
theres, a
these, ideas
they, will
theyll, have
theyre, doing
thick, atmosphere
thing, that
thingBut, I
thingThat, was
things, So
thingsAnd, I
think, that
thinking, You
third, layer
this, is
those, things
though, carbon
thought, that
thoughts, his
thousand, Dollars
thousands, of
threat, to
three, pieces
threshold, from
through, our
throughout, the
thrower, u
thrust, of
thrustWe, managed
thrusters, we
thrusttoweight, Its
thumb, can
thumbs, on
thus, we
ticket, to
time, One
timeline, But
times, is
timesIt, was
timing, seems
to, share
today, have
together, and
togetherNobody, was
ton, to
tons, of
tontoorbit, capability
too, is
tooSo, thats
tools, that
top, we
toss, that
total, energy
touch, So
touchery, because
tough, one
towards, electric
trace, elements
traditional, methods
traffic, jam
train, leaving
trajectory, to
transfer, is
transferred, and
transferring, cargo
transit, times
transition, to
translates, to
transport, about
trap, to
travel, becomes
traveled, as
traveling, frequently
tremendous, and
tremendously, Like
trend, line
trickier, than
trickiest, one
tricky, engines
tried, to
trillion, bits
trip, But
triple, So
trips, that
trivial, or
trouble, And
troubling, questions
truck, before
trucks, in
true, This
truly, fundamental
trust, is
truth, because
try, to
trying, to
tunnel, technology
tunnels, fast
turbo, pump
turns, out
tweeted, that
two, of
twoandahalf, orders
u, is
uVenus, will
ugly, with
ultimately, will
uncertain, Particularly
under, cities
underpants, launch
understand, the
understanding, things
unemployed, people
unemployment, This
unfortunately, But
universal, basic
universe, works
unpressurized, cargo
until, eventually
unusual, for
up, doing
upLet, me
upgrade, the
upheaval, because
uploading, the
upon, how
upper, stage
upperstage, engine
upside, So
upwards, of
urban, congestion
us, 
usage, in
use, the
used, a
useful, payload
usefulness, problem
useless, Thats
uses, 
using, the
vacuum, engines
various, forms
vehicle, production
vehicleBecause, they
vehicles, So
velocity, all
version, of
versions, of
vertical, takeoff
very, much
video, game
videoconference, with
videos, of
view, is
views, one
virtual, reality
virtually, impossible
visions, challenges
visit, what
visited, by
visual, communication
vitally, importantAnd
volume, at
voyages, that
waiting, in
wanna, say
want, to
wanted, to
wants, to
warm, it
was, your
wasnt, some
watch, the
watching, the
water, ice
way, of
ways, is
we, have
wed, obviously
week, to
weird, going
well, probably
wells, And
went, to
were, going
werent, even
weve, seen
what, you
whatever, you
whats, the
when, people
where, you
whereas, the
whether, by
which, is
while, its
white, bars
whiteknuckle, eventIt
who, want
whole, endeavor
whos, creating
whose, job
why, you
widespread, I
will, tell
willAnd, I
wing, shape
wings, you
winner, So
wisdom, that
wish, would
wishful, thinking
with, But
within, the
without, exceeding
wonder, what
wondering, whats
wont, to
words, the
work, they
workAnd, thats
worked, on
working, seven
works, anywhere
worksAnd, you
world, its
worldI, think
worlds, information
worse, for
worst, I
worth, living
would, say
wouldnt, be
wouldve, said
writing, has
wrong, And
wrongIt, was
yeah, sure
year, and
years, The
you, very
youAnd, I
youd, think
youll, see
young, people
your, goal
youre, always
yourself, Particularly
youve, got
zero, So
zeroSo, anything
zerog, games
